ma_hoc_phan,ten_vi,ten_en,so_tin_chi_tong,mo_ta_tom_tat,hoc_ky_goi_y,loai_hoc_phan
BS6051,Nghệ thuật học,Art Studies,2.0,"Học phần giới thiệu những kiến thức cơ bản nhất về nghệ thuật học như khái niệm, vai trò, nguồn gốc của nghệ thuật; chức năng của nghệ thuật; hình tượng nghệ thuật; nội dung – hình thức trong nghệ thuật. Giới thiệu đặc trưng hình thức, ngôn ngữ của một số loại hình nghệ thuật tiêu biểu: Kiến trúc, Hội họa, Trang trí, Múa, Sân khấu, Điện Ảnh, Văn học và một số vấn đề về thưởng thức và giáo dục nghệ thuật.",2,TU_CHON
BS6052,Mỹ thuật đại cương,General Fine Arts,2.0,"Học phần nghiên cứu về sự ứng dụng của mỹ thuật trong các ngành kỹ thuật và trong cuộc sống. Sau khi học xong học phần này, sinh viên hiểu được những vấn đề cơ bản về mỹ thuật như khái niệm mỹ thuật; lịch sử mỹ thuật Việt Nam và thế giới; ngôn ngữ và thể loại hội họa, điêu khắc, đồ họa; những yếu tố tạo hình; thiết kế đồ họa, thiết kế tạo dáng công nghiệp, từ đó tạo nên những sản phẩm công nghiệp có vẻ đẹp thích hợp nhất.",2,TU_CHON
BS6054,Vật lý đại cương,General Physics,3.0,"Học phần Vật lý đại cương gồm hai phần: phần lý thuyết và phần thí nghiệm. - Phần lý thuyết cung cấp cho sinh viên những kiến thức cơ bản của Vật lý về các lĩnh vực Cơ học (cơ học chất điểm, hệ chất điểm và cơ học vật rắn) và Điện - Từ học (điện trường tĩnh, tụ điện, dòng điện không đổi, từ trường của dòng điện không đổi, hiện tượng cảm ứng điện từ và trường điện từ). + Cơ học trang bị cho sinh viên các kiến thức cơ bản về gia tốc, vận tốc, gia tốc góc, vận tốc góc, góc quay, lực, mô men lực, khảo sát các dạng chuyển động cơ bản của vật rắn và cơ hệ trong thực tế: chuyển động tịnh tiến, chuyển động quay; sự biến đổi của công, năng lượng, động lượng của vật, hệ vật trong quá trình chuyển động. + Điện – Từ học trang bị cho sinh viên các kiến thức cơ bản về điện trường, cường độ điện trường điện thế, các phần tử trong mạch điện thực tế: điện trở, tụ điện, diode, transistor, nguồn điện, phương pháp áp dụng định luật Ohm và các quy tắc Kirchhoff để khảo sát mạch điện một chiều; tương tác từ, từ trường, cảm ứng từ, cường độ từ trường; hiện tượng cảm ứng điện từ, các ứng dụng của cảm ứng điện từ trong kĩ thuật và đời sống; trường điện từ, sóng điện từ, các luận điểm của Maxwell và hệ phương trình Maxwell, thang sóng điện từ. - Phần thí nghiệm giúp củng cố kiến thức về cơ học và điện-từ học, rèn luyện kỹ năng thực nghiệm, kỹ năng sử dụng các dụng cụ đo lường, phân tích số liệu thực nghiệm, tính toán sai số. Các kiến thức và kỹ năng mà sinh viên lĩnh hội được từ học phần Vật lý đại cương sẽ là cơ sở cho việc tiếp thu một cách thuận lợi các kiến thức trong các học phần cơ sở ngành công nghệ, kỹ thuật như Kỹ thuật điện, Quá trình và thiết bị cơ học, Vật lý thực phẩm, Kiến trúc máy tính và hệ điều hành, ... Ngoài ra, học phần Vật lý đại cương sẽ góp phần hình thành thế giới quan khoa học và tư duy logic cho sinh viên.",2,BAT_BUOC
IT6202,Kiến trúc máy tính,Computer Architecture,2.0,,3,BAT_BUOC
IT6203,Nguyên lý hệ điều hành,Operating System Principles,2.0,"Học phần này thuộc khối kiến thức cơ sở trong chương trình đào tạo, được thực hiện giảng dạy trong một học kỳ. Với mục tiêu chính là giới thiệu một số khái niệm cơ bản liên quan tới nguyên lý Hệ điều hành: Quản lý tiến trình (process), vấn đề lập lịch cho CPU, xử lý bế tắc, quản lý bộ nhớ, và quản lý thiết bị ngoại vi ...",4,BAT_BUOC
IT6204,Phân tích và thiết kế hệ thống,System Analysis and Design,3.0,"Học phần này cung cấp cho sinh viên các kiến thức và kỹ năng về phân tích và thiết kế hệ thống bao gồm: các kỹ thuật khảo sát và xác định yêu cầu của hệ thống, phân tích chức năng, phân tích cấu trúc và hành vi hệ thống, thiết kế lớp, thiết kế dữ liệu và thiết kế giao diện người dùng.",5,BAT_BUOC
IT6205,Thực tập doanh nghiệp,Graduate Internship,7.0,"Thực tập doanh nghiệp là đợt thực tập cuối cùng của sinh viên trước khi làm đồ án tốt nghiệp. Học phần giúp sinh viên được tìm hiểu, thực hiện một cách tổng thể, thực tế một hệ thống thông tin hoặc triển khai một dự án công nghệ/ kỹ thuật về lĩnh vực công nghệ thông tin trong các tổ chức, doanh nghiệp.",8,BAT_BUOC
IT6206,Đồ án tốt nghiệp,Graduation Thesis,8.0,"Học phần giúp sinh viên vận dụng các kiến thức, kỹ năng tổng hợp để xây dựng phần mềm hoặc giải quyết vấn đề thực tế dựa trên giải pháp công nghệ thông tin đáp ứng yêu cầu thực tế.",8,BAT_BUOC
IT6207,Thực tập doanh nghiệp,Graduation Internship,7.0,"Thực tập doanh nghiệp là đợt thực tập cuối cùng của sinh viên trước khi làm đồ án tốt nghiệp. Việc thực tập diễn ra ngoài doanh nghiệp, có sự giám sát của giảng viên hướng dẫn và sự hỗ trợ chuyên môn của kỹ thuật viên phía doanh nghiệp. Trong đợt thực tập này, sinh viên được tham gia sâu hơn vào các hoạt động sản xuất kinh doanh trực tiếp của doanh nghiệp công nghệ thông tin. Học phần giúp sinh viên hệ thống hóa các kiến thức, kỹ năng đã được học trong nhà trường, bước đầu áp dụng vào công việc thực tế. Học phần cũng giúp sinh viên tiếp cận và thực hành văn hóa giao tiếp, hình thành tác phong công nghiệp, tham gia vào quy trình sản xuất tại doanh nghiệp.",8,BAT_BUOC
IT6208,Đồ án/khóa luận tốt nghiệp,Graduation Project,8.0,"Học phần trang bị cho sinh viên khả năng vận dụng các kiến thức, kỹ năng đã học vào phân tích, thiết kế và đánh giá giải pháp cho dự án công nghệ thông tin. Sau khi học xong học phần này, sinh viên có khả năng chuyển giao các sản phẩm như bản phân tích, thiết kế, sản phẩm phần mềm hoặc một hệ thống thông tin, kết quả đánh giá giải pháp công nghệ thông tin và trình bày giải pháp thông qua kỹ năng viết báo cáo và thuyết trình.",8,BAT_BUOC
IT6217,Nhập môn về kỹ thuật,Introduction to Engineering,3.0,"Học phần giới thiệu cho các sinh viên thuộc nhóm ngành Máy tính và công nghệ thông tin về các kiến thức cơ bản liên quan tới ngành học, tin học cơ bản. Hơn nữa, học phần chú trọng giảng dạy các kỹ năng mềm như: Kỹ năng quản lý thời gian, lập kế hoạch; Kỹ năng viết, thuyết trình, trình bầy báo cáo kỹ thuật; kỹ năng làm việc nhóm cũng như khả năng xác định trách nhiệm nghề nghiệp dựa trên đạo đức và pháp luật. Sau khi học xong học phần, sinh viên có thể giải thích các vấn đề liên quan tới ngành học, vận dụng một số kiến thức cơ bản của tin học trong các học phần tiếp theo cũng như có các kỹ năng mềm cần thiết cho quá trình học tập.",1,BAT_BUOC
IT6218,Hệ quản trị cơ sở dữ liệu,Database Management System (DBMS),2.0,"Học phần cung cấp cho sinh viên kiến thức và kỹ năng sử dụng một hệ quản trị cơ sở dữ liệu phổ biến để cải đặt cơ sở dữ liệu và giới thiệu một số công tác quản trị, các chức năng căn bản của một hệ quản trị cơ sở dữ liệu, đồng thời tiếp cận với hai vai trò ""Nhà phát triển cơ sở dữ liệu"" và ""Nhà quản trị"" trên một hệ thống quản trị cơ sở dữ liệu.",4,BAT_BUOC
LP6010,Triết học Mác – Lênin,Marxist-Leninist Philosophy,3.0,"Học phần trang bị cho sinh viên những nội dung cơ bản của triết học Mác – Lênin gồm: triết học và vai trò của triết học trong đời sống xã hội; chủ nghĩa duy vật biện chứng và chủ nghĩa duy vật lịch sử. Trên cơ sở đó xây dựng thế giới quan, phương pháp luận khoa học giúp sinh viên có khả năng vận dụng, giải quyết các vấn đề thực tiễn, đồng thời xây dựng niềm tin và lý tưởng cách mạng cho sinh viên.",1,BAT_BUOC
LP6021,Pháp luật đại cương,General Law,2.0,"Học phần cung cấp cho sinh viên những vấn đề cơ bản về nhà nước và nhà nước CHXHCN Việt Nam; Những vấn đề cơ bản về pháp luật; Quy phạm pháp luật và thực hiện pháp luật; Quan hệ pháp luật; Vi phạm pháp luật và trách nhiệm pháp lý; Hệ thống pháp luật Việt Nam; Hình thức pháp luật Việt Nam; Luật Dân sự; Luật Phòng, chống tham nhũng. Từ đó sinh viên vận dụng kiến thức để giải quyết tình huống pháp luật thông thường trong thực tiễn và có ý thức tôn trọng pháp luật.",6,BAT_BUOC
LP6022,Tư tưởng Hồ Chí Minh,Ho Chi Minh Thought,2.0,,4,BAT_BUOC
LP6025,Kinh tế chính trị Mác - Lênin,Marxist-Leninist Political Economy,2.0,"Học phần trang bị cho sinh viên những kiến thức cơ bản của kinh tế chính trị Mác - Lênin và những vấn đề kinh tế chính trị của thời kỳ quá độ lên chủ nghĩa xã hội ở Việt Nam. Trên cơ sở đó phát huy những giá trị bền vững của kinh tế chính trị Mác-Lênin; đồng thời hình thành kỹ năng, tư duy, niềm tin, lý tưởng cách mạng, đạo đức nghề nghiệp cho sinh viên nhằm giải quyết các vấn đề kinh tế - xã hội nảy sinh trong thực tiễn phát triển của Việt Nam",2,BAT_BUOC
LP6026,Chủ nghĩa xã hội khoa học,Scientific Socialism,2.0,"Học phần cung cấp cho sinh viên những lý luận cơ bản về chủ nghĩa xã hội khoa học và các quy luật chính trị - xã hội gồm: Sứ mệnh lịch sử của giai cấp công nhân; chủ nghĩa xã hội và thời kỳ quá độ lên chủ nghĩa xã hội; dân chủ, Nhà nước xã hội chủ nghĩa; cơ cấu xã hội - giai cấp và liên minh giai cấp; dân tộc, tôn giáo, gia đình trong thời kỳ quá độ lên chủ nghĩa xã hội ở Việt Nam...Trên cơ sở đó, sinh viên có khả năng vận dụng để giải quyết các vấn đề thực tiễn xây dựng chế độ xã hội chủ nghĩa ở Việt Nam, đồng thời giáo dục niềm tin và lý tưởng cách mạng cho sinh viên.",3,BAT_BUOC
LP6027,Lịch sử Đảng Cộng sản Việt Nam,History of the Communist Party of Vietnam,2.0,"Học phần cung cấp cho sinh viên kiến thức cơ bản về sự ra đời của Đảng Cộng sản Việt Nam (1920-1930); quá trình Đảng lãnh đạo cách mạng Việt Nam qua từng giai đoạn lịch sử. Qua đó, khẳng định những thành tựu, hạn chế, tổng kết những bài học kinh nghiệm về sự lãnh đạo của Đảng để giúp sinh viên nâng cao nhận thức, niềm tin đối với Đảng, góp phần xây dựng, bảo vệ Tổ quốc Việt Nam xã hội chủ nghĩa.",5,BAT_BUOC
SC6013,Quản lý dự án công nghệ thông tin,Information Technology Project Management,3.0,,5,BAT_BUOC
SC6014,Hệ thống thông tin,Foundation Project,2.0,"Học phần nhằm mục đích giới thiệu cho sinh viên biết môi trường làm việc, các yêu cầu của vị trí công việc trong ngành Hệ thống thông tin, hình thành ý tưởng về thiết kế, phát triển hệ thống thông tin. Học phần này giúp cũng có các kiến thức và kỹ năng cho người học về cơ sở dữ liệu, căn bản về lập trình, nền tảng về máy tính. Thông qua học phần, người học đàn hình thành tư duy hệ thống, ý thức kỹ luật, phát triển năng lực CDIO để tự tin giải quyết các vấn đề mới; sinh viên được rèn luyện kỹ năng làm việc nhóm đã được trang bị ở các học phần trước đó; có kỹ năng lập kế hoạch và triển khai vận hành một dự án hệ thống thông tin ở mức cơ sở.",5,BAT_BUOC
SC6016,Đồ an cơ sở ngành,Foundation Project,2.0,"Học phần này nhằm cứng cố các kiến thức và kỹ năng cơ sở của ngành CNTT liên quan đến phân tích thiết kế hệ thống, cơ sở dữ liệu và ngôn ngữ lập trình. Sau khi học xong học phần sinh viên có khả năng phân tích, thiết kế và triển khải được một giải pháp công nghệ thông tin cơ bản.",6,BAT_BUOC
SC6019,Học máy,Machine Learning,3.0,"Học phần cung cấp cho sinh viên các phương pháp học máy cơ bản, bao gồm các thuật toán, kỹ thuật và cải đặt. Trên cơ sở đó, sinh viên có thể thiết kế được các hệ học và nghiên cứu sâu hơn về các bài toán cụ thể như chẩn đoán, dự báo... Sau khi học xong học phần này, sinh viên có thể thực nghiệm được một số thuật toán học máy cơ bản, thiết kế được hệ học phù hợp với bài toán cho trước.",6,TU_CHON
SC6200,Mã hóa an toàn,Cryptography and Information Security,3.0,"Học phần này cung cấp các kiến thức liên quan đến mã hóa an toàn, chữ ký số và xác thực số. Sau khi học xong học phần, sinh viên hiểu được các thuật toán mã hóa dữ liệu, chữ ký điện tử và xác thực thông tin, sinh viên có khả năng thực hiện các thuật toán mã hóa và giải mã dữ liệu, có khả năng sử dụng chữ ký điện tử để xác thực thông tin truyền và nhận qua mạng.",5,BAT_BUOC
SC6202,Tối ưu hóa,Optimization,3.0,"Môn học Tối ưu hóa trang bị cho người học những kiến thức và công cụ cần thiết để giải quyết các bài toán tìm kiếm giá trị tốt nhất (tối ưu) của một hàm số hoặc một hệ thống, trong điều kiện có hoặc không có ràng buộc. Đây là một lĩnh vực quan trọng với nhiều ứng dụng trong khoa học, kỹ thuật, kinh tế, quản lý và nhiều ngành khác. Học phần giới thiệu bài toán tối ưu, các bài toán về quy hoạch tuyến tính, các bài toán quy rời rạc.",3,TU_CHON
SC6205,Cấu trúc dữ liệu và giải thuật,Data Structures and Algorithms,3.0,"Học phần này cung cấp cho sinh viên các kiến thức cơ bản về các cấu trúc dữ liệu (danh sách tuyến tính, cây và cây nhi phân,...), các giải thuật (sắp xếp, tìm kiếm,...), các chiến lược thiết kế thuật toán (đệ quy, tham lam, chia đề trị...), cách thức lựa chọn, xây dụng các cấu trúc dữ liệu cho mỗi bài toán, từ đó làm cơ sở để lựa chọn và xây dựng các giải thuật tương ứng để giải quyết bài toán.",4,BAT_BUOC
SC6206,Cơ sở dữ liệu,Database,3.0,"Học phần trang bị cho sinh viên những kiến thức nền tảng về cơ sở dữ liệu bao gồm các khái niệm cơ bản và các mô hình dữ liệu phổ biến. Nội dung học phần tập trung vào mô hình dữ liệu quan hệ với các chủ đề chính như: lược đồ quan hệ, quan hệ và bộ, khóa, các phép toán đại số quan hệ, ngôn ngữ truy vấn dữ liệu SQL, các ràng buộc toàn vẹn và phụ thuộc hàm. Bên cạnh đó, học phần còn giới thiệu hệ thống các dạng chuẩn và quy trình chuẩn hóa lược đồ quan hệ nhằm nâng cao chất lượng thiết kế cơ sở dữ liệu. Thông qua học phần, sinh viên hình thành nền tầng vững chắc cho việc phân tích, thiết kế và khai thác cơ sở dữ liệu trong các hệ thống thông tin.",3,BAT_BUOC
SC6208,Kỹ thuật lập trình,Programming Techniques,3.0,,2,BAT_BUOC
SC6210,Phát triển ứng dụng trên nền tảng Microsoft .NET,.NET Programming,3.0,"Học phần này trang bị cho sinh viên kiến thức và kỹ năng phát triển ứng dụng trên nền tàng Microsoft .NET sử dụng ngôn ngữ C#. Sinh viên sẽ nằm vững các nguyên lý lập trình hướng đối tượng, kỹ thuật xây dựng giao diện người dùng hiện đại (GUI) bằng Windows Presentation Foundation (WPF), kết nối và thao tác với cơ sở dữ liệu thông qua Entity Framework Core để giải quyết các bài toán thực tế. Bên cạnh đó, học phần còn bồi dương ý thức đạo đức nghề nghiệp, trách nhiệm cá nhân và tuân thủ các quy định pháp luật (như bản quyền phần mềm) trong quá trình phát triển ứng dụng.",6,TU_CHON
SC6211,Lập trình hướng đối tượng,Object Oriented Programming,3.0,"Học phần Lập trình hướng đối tượng cung cấp các kiến thức và kỹ năng cơ bản về phương pháp lập trình hướng đối tượng: các khái niệm (lớp, đối tượng, sự trừu tượng hóa dữ liệu, đóng gói, kế thừa, đa hình...), cách tiếp cận bài toán theo hướng đối tượng; các kỹ năng phân tích, thiết kế, cải đặt, kiểm thử chương trình theo phương pháp hướng đối tượng.",3,BAT_BUOC
SC6212,Lập trình Java,Java Programming,3.0,"Nội dung học phần bắt đầu từ các khái niệm cơ bản của lập trình Java như biến, kiểu dữ liệu, toán tử, cấu trúc điều khiển và vòng lặp, giúp người học hình thành tư duy lập trình và giải quyết các bài toán đơn giản. Tiếp theo, học phần tập trung vào lập trình hướng đối tượng (OOP) trong Java, bao gồm các khái niệm lớp, đối tượng, đóng gói, kế thừa, đa hình và trừu tượng, qua đó giúp người học biết cách thiết kế chương trình có cấu trúc, dễ mở rộng và bảo trì. Bên cạnh đó, học phần còn trang bị kiến thức về xử lý măng, chuỗi, tập hợp (Collections), xử lý ngoại lệ và lập trình vào/ra dữ liệu (I/O), giúp người học làm việc hiệu quả với dữ liệu và xây dựng chương trình an toàn, ổn định. Các nội dung nâng cao hơn như lập trình cơ sở dữ liệu với JDBC và lập trình giao diện người dùng cơ bản trong Java cũng được giới thiệu, tạo nền tảng để phát triển các ứng dụng Java hoàn chính.",6,TU_CHON
SC6213,Lập trình Java nâng cao,Advanced Java Programming,3.0,"Học phần nằm trong khối kiến thức chuyên ngành nhằm trang bị cho sinh viên kiến thức chuyên sâu, nâng cao, hiện đại về lập trình Java. Môn học này được trang bị cho sinh viên sau khi sinh viên đã học kiến thức cơ bản về cơ sở dữ liệu, về mạng máy tính và kiến thức lập trình cơ sở về Java. Nội dung kiến thức của học phần nâng cao bao gồm: Lập trình giao diện nâng cao (Swing nâng cao, JavaFX), lập trình kết nối CSDL (JPA, Hibernate, HQL), lập trình đa lường, lập trình mạng (socket), các kỹ thuật lập trình Java hiện đại với các Framework như Spring, Quarkus, .... Kết thúc học phần sinh viên phải vận dụng được kỹ thuật lập trình Java nâng cao vào giải quyết được các bài toán thực tế và đáp ứng được các yêu cầu của doanh nghiệp.",7,TU_CHON
SC6214,Phát triển ứng dụng web động sử dụng ASP.NET Core MVC,Web Programming in ASP.NET,3.0,"Học phần này cung cấp các kiến thức và kỹ năng phát triển ứng dụng web động sử dụng ASP.NET Core MVC. Hoàn thành học phần này, sinh viên sẽ nằm vững kiến trúc web hiện đại, mô hình MVC, thao tác với cơ sở dữ liệu qua Entity Framework Core, xây dựng giao diện bằng Razor, xử lý form và validation, quản lý người dùng với Authentication & Authorization, đồng thời phát triển các ứng dụng thực tế với nghiệp vụ cơ bản. Bên cạnh đó, học phần còn bồi dưỡng ý thức đạo đức nghề nghiệp, trách nhiệm cá nhân và tuân thủ các quy định pháp luật trong quá trình phát triển và triển khai ứng dụng web.",7,TU_CHON
SC6215,Lập trình web phía máy chủ bằng ngôn ngữ PHP,Web programming with PHP,3.0,"Học phần trang bị cho sinh viên kiến thức và kỹ năng lập trình web phía máy chủ bằng ngôn ngữ PHP. Nội dung bao gồm cú pháp và cấu trúc cơ bản của PHP, thao tác với biến, măng, hàm, biểu mẫu, quản lý phiên làm việc; kết nối và xử lý dữ liệu với cơ sở dữ liệu MySQL; xây dựng và triển khai ứng dụng web động. Học phần kế thừa các kiến thức về lập trình cơ bản và cấu trúc dữ liệu, đồng thời là nền tảng cho các học phần tiếp theo như Lập trình PHP nâng cao và Phát triển ứng dụng thương mại điện tử.",6,TU_CHON
SC6218,Phát triển ứng dụng game,Game application development,3.0,,6,TU_CHON
SC6219,Lập trình di động,Mobile application development,3.0,"Học phần nằm trong nhóm kiến thức chuyên ngành nhằm cung cấp cho sinh viên kiến thức cơ bản về lập trình di động trên nền tầng hệ điều hành Android: - Cơ sở lập trình trên thiết bị di động; - Thiết kế giao diện và xử lý sự kiện trên giao diện; - Thao tác với dữ liệu và cơ sở dữ liệu. Sau khi học xong, sinh viên có thể xây dựng và triển khai được ứng dụng cơ bản trên thiết bị di động Android.",6,TU_CHON
SC6220,Phần mềm mã nguồn mở,Open Source Software,3.0,"Học phần cung cấp cho sinh viên các kiến thức cơ bản về phần mềm mã nguồn mở, nguyên tắc sử dụng, xuất bản nguồn mở và một số nguyên tắc trong thiết kế, xây dựng, kiểm thử lập trình mã nguồn mở. Sau khi học xong, sinh viên áp dụng xây dựng và phát hành được phần mềm trên nền tảng mã nguồn mở đáp ứng mục tiêu người sử dụng tuân thủ pháp luật và đạo đức nghề nghiệp.",7,TU_CHON
SC6221,Phương pháp số trong lập trình,Numerical Methods for Programming,3.0,"Học phần này cung cấp cho sinh viên các kiến thức, các phương pháp cơ bản. Các thuật toán tìm nghiệm gần đúng cho phương trình, hệ phương trình, tích phân, đạo hàm và phương trình vi phân. Phân tích sai số và độ ổn định của thuật toán. Các kỹ thuật cải đặt chương trình trên máy tính để cho ra các kết quả bằng số của các bài toán thường gặp trong toán học cũng như trong kỹ thuật.",3,TU_CHON
SC6222,Tích hợp hệ thống phần mềm,Software System Integration,3.0,"Học phần này trang bị cho sinh viên các khái niệm, phương pháp, kỹ thuật và công nghệ tiên tiến cần thiết như XML, JSON, Web API để giải quyết vấn đề tích hợp hệ thống phần mềm. Sau khi hoàn thành học phần, người học có khả năng phân tích yêu cầu, thiết kế và phát triển các Web API hoàn chỉnh, có thể tích hợp với nhiều nền tảng khác nhau, đáp ứng các yêu cầu thực tiễn trong phát triển phần mềm hiện đại.",7,BAT_BUOC
SC6223,Toán rời rạc,Discrete Mathematics,3.0,"Học phần bao gồm các kiến thức về Toán học ứng dụng trong tin học như: Pháp toán logic, bài toán đếm, khái niệm quan hệ, đồ thị và cây. Sau khi học xong học phần Toán rời rạc sinh viên hiểu được một số thuật toán và áp dụng vào các bài toán thực tế. Học phần là nền tàng cho các học phần chuyên ngành, ví dụ: Cơ sở dữ liệu, Cấu trúc dữ liệu và giải thuật, Ứng dụng thuật toán, Trí tuệ nhân tạo...",3,BAT_BUOC
SC6224,Thiết kế web,Web design,3.0,"Học phần này cung cấp các kiến thức về ngôn ngữ đánh dấu siêu văn bản HTML, CSS, ngôn ngữ Javascript sử dụng trong thiết kế trang web. Sau khi học xong người học có thể thiết kế và xây dựng được giao diện trang web, tạo các tương tác, hiệu ứng trên trang web.",5,BAT_BUOC
